,smiles,abbr,O_count,C:O,wbx_li_ebind,bp86_li_ebind,wbx_na_ebind,bp86_na_ebind,wbx_mg_ebind,bp86_mg_ebind,wbx_mol_homo,bp86_mol_homo,wbx_li_homo,bp86_li_homo,wbx_na_homo,bp86_na_homo,wbx_mg_homo,bp86_mg_homo,wbx_li_dipole,bp86_li_dipole,wbx_na_dipole,bp86_na_dipole,wbx_mg_dipole,bp86_mg_dipole,wbx_mol_abs_energy,bp86_mol_abs_energy
0,COCCOC,1:2:1,2,2.0,-2.539414331304215,-2.951969452909907,-1.7623126015587331,-2.103520148624739,-6.948669158431585,-7.403477391306296,-9.62768735592555,-5.50559790301135,-14.664623574220752,-10.8754654173933,-14.110735831528,-10.40266760214955,-19.87027037982595,-15.983314505128801,3.0426272441643514,2.9023473527639485,4.115644776895137,3.771130688769652,5.600162452832006,5.699812118525708,-308.894892571068,-308.639638947575
1,COCCOCCOC,1:2:2:1,3,2.0,-3.3060008842639945,-3.8435542159331817,-2.397417802534619,-2.829888798383763,-9.259453296675929,-9.876117326588428,-9.612857151073301,-5.365350424463649,-14.2793375732978,-10.52724132290845,-13.879629538298351,-10.121002555497,-19.11373945266585,-15.319166230213451,1.2138565059655464,1.0898503023923645,2.2134249343913632,1.9978709614876142,2.6321103702418642,2.6546916038741086,-462.745773398291,-462.36819889425
2,COCCOCCOCCOC,1:2:2:2:1,4,2.0,-3.8594672698018258,-4.560765012993215,-2.925842799642851,-3.492830518687697,-11.184381482460594,-11.978568488648307,-9.273095797339002,-5.0348953644164505,-13.636740715342048,-10.0789337542097,-13.55222215337675,-9.8440450784581,-18.506054801729253,-14.68024290923945,0.39404005822989846,0.15234911619357372,1.1104033569272267,0.9375231661900715,0.9233146288048718,1.1117696181193353,-616.596131011781,-616.097320149744
3,COCCOCCOCCOCCOC,1:2:2:2:2:1,5,2.0,-4.362743439960468,-5.008011348258151,-3.41627795680688,-3.91531231362751,-12.579808159363893,-13.387537834314571,-9.17456337207295,-5.233973857442249,-13.4136889920872,-9.718763861687899,-13.2914010276725,-9.54153611085725,-17.91997599052235,-14.10036829382395,0.6285139237829368,0.916520746278593,0.6784372301811943,0.664217432718001,0.5474977034411466,0.56806023523621,-770.447807879062,-769.83178985556
4,COCCOCCOCCOCCOCCOC,1:2:2:2:2:2:1,6,2.0,-4.680223116356501,-5.223842056511785,-3.6504849554912653,-4.285200455826271,-13.651793790711963,-14.455955573885149,-9.0754322963358,-5.26962077185775,-13.134200856238651,-9.38104336183235,-13.03172278014035,-9.23056440250585,-17.22782720039055,-13.48669713817635,1.0690161989642772,0.9177354278653356,0.3177284669222379,0.344492364446333,0.3989941335772639,0.2805920720035905,-924.302678303022,-923.566692279885
5,COCOC,1:1:1,2,1.5,-2.0574953520381314,-2.3827351744266707,-1.4344651015107956,-1.714738220014624,-6.0158271234504355,-6.407665683262167,-10.07526021722795,-6.150725419776751,-14.902913673103601,-11.155579415098,-14.239146357578951,-10.532438697453001,-20.320918127639,-16.4877591611857,3.575887349807119,3.3070425853424847,4.278253766011053,3.9093789185690095,6.313567749370251,6.401354202407324,-269.587942421326,-269.363193977373
6,COCCOCOC,1:2:1:1,3,1.6666666666666667,-2.8362234706692107,-3.2874094906856044,-2.000128787029098,-2.405016380671441,-8.246694457364356,-8.811499517036282,-9.72434219562315,-5.7857391121011,-14.557818887899499,-10.727625962416651,-14.023387285517499,-10.28310077623985,-19.5157876667796,-15.68178514738975,1.7368255944008468,1.5352636393935055,2.688844667246518,2.4019142024090567,3.1212444779006394,3.206947040873509,-423.439244690706,-423.091962638148
7,COCOCOC,1:1:1:1,3,1.3333333333333333,-2.433101843957047,-2.8428130919201067,-1.6914829354991525,-2.059718249807702,-7.302848056686344,-7.800893828843982,-10.0550965809059,-6.1683311859041,-14.7408970865159,-10.9141600069344,-14.157539413814,-10.42503536066065,-19.855059215583,-16.0286486726221,2.3803407794252505,2.518669582671718,3.3796057643395496,2.968680141742959,4.038462187391531,4.104080120987351,-384.131706588396,-383.81419630125
8,COCCOCCOCOC,1:2:2:1:1,4,1.75,-3.516833247815157,-4.091620384449925,-2.5044622793102462,-3.065579014368268,-10.25450473017554,-10.987690693826153,-9.64015017027845,-5.53770733737035,-14.11794684856625,-10.3149653081334,-13.70019766527865,-9.9699249456994,-18.5275245845337,-14.80726565465285,0.9554557193064782,1.0150619570487194,0.9698154461166923,1.322528891423846,1.2824272482449395,1.2893273152848386,-577.289604883736,-576.82154909271
9,COCCOCOCCOC,1:2:1:2:1,4,1.75,-3.4537463852648216,-3.9699706460050947,-2.484542480615346,-2.9328439565579174,-10.201477429054648,-10.880177926024771,-9.724260561468,-5.40497020109645,-14.0646941680234,-10.275100629035151,-13.7181299680266,-9.965054107775451,-18.86089126278125,-15.01809946602025,1.0899163189072483,0.9922040131509804,1.6528706012464125,1.2925408977568822,1.4382589720424794,1.4930686452144466,-577.290100164941,-576.823181252512
